,cactusADM,copy,ferret,fotonik3d,freqmine,GemsFDTD,hmmer,lbm,namd,parest,sphinx3,swaptions,triad,xz,zeusmp
pagepolicy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
addresmapping,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
rcd,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
rp,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
ras,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
rrdl,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
refi,238680,238680,238680,238680,238680,238680,238680,238680,238680,238680,238680,238680,238680,238680,238680
Energy,4161.8896,742.97992,19.620323,11507.687,34.393234,12222.401,2452.2092,15203.558,3140.5972,7093.2793,4118.375,0.93629199,1029.941,5028.3647,18677.551
Latency,42216.43,4397.9009,147.774,86682.219,256.29901,86668.328,28456.883,81245.359,34679.922,53133.102,40929.23,6.375,5507.2832,38109.711,113694.45
EDP,175700120.96612802,3267552.0588499275,2899.373611002,997511844.717453,8814.95182489834,1059295058.8155279,69782230.29592359,1235218527.787322,108915665.9294184,376887932.5613886,168561917.60125002,5.96886143625,5672176.7662912,191629525.51960173,2123533888.29195
Error,2.8045384e-05,2.8045384e-05,2.8045384e-05,2.8045384e-05,2.8045384e-05,2.8045384e-05,2.8045384e-05,2.8045384e-05,2.8045384e-05,2.8045384e-05,2.8045384e-05,2.8045384e-05,2.8045384e-05,2.8045384e-05,2.8045384e-05
