addressmapping,energy,episode_length,episode_return,episodes,err_rate,latency,pagepolicy,ras,rcd,refi,rp,rrd,steps,steps_per_second
3,6055.00587031,1,2.4204543,1,1.9145e-06,55417.809,0,19,16,4680,13,3,1,0.030514419972159538
0,6752.52797638,1,1.0762243,2,6.594482e-05,72230.112,1,36,15,379080,14,6,2,125.0500581378015
0,6752.52797638,1,1.0123595,3,3.0193e-05,74863.437,1,29,16,285480,16,4,3,0.020315542017083358
3,5625.5031895,1,4.4363832,4,8.4519552e-05,47733.969,1,26,14,425880,14,3,4,87.87931612470668
1,5369.24856869,1,11.167607,5,1.0245200000000001e-07,38642.571,1,37,14,4680,15,5,5,126.51355835067716
3,5625.5031895,1,4.2157865,6,7.986019999999999e-06,48636.403,1,26,15,191880,15,4,6,131.43756071574066
3,5635.98806638,1,4.124995,7,2.0192e-06,48915.319,1,26,16,98280,14,6,7,134.20913861512864
2,5035.858058119999,1,16.00026,8,2.185552e-06,38052.273,1,25,14,98280,14,4,8,136.52888903356012
3,5625.5031895,1,4.5735626,9,4.813522e-05,47216.685,1,33,15,332280,14,6,9,135.8259067357513
2,5028.3647025,1,19.968655,10,4.655338400000036e-05,36594.115,1,26,12,285480,13,3,10,74.36577365649545
3,5625.5031895,1,4.2588463,11,4.7902352e-05,48452.909,0,37,14,332280,15,5,11,0.07768950452154783
2,5028.3647025,1,13.674329,12,3.0394199999999998e-05,39404.912,0,27,16,285480,14,6,12,112.4779833735586
3,5625.5031895,1,4.6968474,13,4.8100683999999995e-05,46777.576,1,31,13,332280,16,5,13,135.45305990634589
3,5629.07451062,1,4.8686438,14,4.400684e-06,46167.831,1,37,13,145080,16,5,14,143.71929824561403
3,5629.07451062,1,5.0756946,15,2.066938400000036e-05,45528.197,1,31,12,145080,13,6,15,146.72067723090916
0,6752.52797638,1,1.0204567,16,4.951522e-05,74511.321,0,20,15,332280,14,3,16,146.16846140442587
3,5625.5031895,1,4.5807815,17,1.19352e-05,47190.321,1,37,16,238680,14,5,17,145.80262105885217
2,5028.3647025,1,19.76445,18,1.193522e-05,36657.206,1,37,15,238680,14,6,18,146.97259793958932
1,5043.810493,1,12.436654,19,2.65e-06,40144.043,1,22,16,98280,15,5,19,146.54638202718283
0,6752.52797638,1,1.0538298,20,4.8044752e-05,73117.161,0,34,14,332280,15,3,20,83.9011822127983
3,5625.5031895,1,4.2260566,21,4.8519552000000004e-05,48592.299,0,26,14,332280,14,5,21,25.628469124637963
0,7366.962867939999,1,0.7771261,22,4.28652e-07,77675.165,0,29,14,4680,14,5,22,131.53236327145007
3,5625.5031895,1,4.304986,23,4.8135552e-05,48260.361,0,32,14,332280,14,5,23,153.04327519521271
3,5625.5031895,1,4.643746,24,2.418618400000036e-05,46963.851,1,25,12,191880,14,6,24,147.92635959652958
4,6995.15210131,1,0.9105909,25,1.8082400000000334e-05,75796.1,1,26,16,98280,12,5,25,148.63404089443284
3,5635.98806638,1,4.720707,26,1.46842e-06,46589.915,1,37,15,98280,13,6,26,148.57612469004604
2,5030.835597810001,1,13.914857,27,5.218399999999999e-06,39229.296,0,25,16,145080,13,5,27,146.02597221738677
4,6981.02454438,1,0.92445946,28,3.0984684000000005e-05,75329.511,1,23,13,285480,15,3,28,149.0566118198941
3,5629.07451062,1,4.321748,29,5.152352e-06,48152.075,1,25,14,145080,15,6,29,148.73418439716312
2,5028.3647025,1,14.903373,30,9.181884e-06,38669.532,0,19,13,191880,14,6,30,87.37405216231981
3,6055.00587031,1,3.007382,31,2.4452000000000013e-07,50552.391,1,34,15,4680,15,5,31,25.051239629932688
3,5625.5031895,1,4.247905,32,3.03112e-05,48499.181,1,28,16,285480,14,5,32,133.6106014271152
2,5028.3647025,1,16.643953,33,3.031122e-05,37813.898,1,28,15,285480,14,5,33,144.9110005527916
3,6055.00587031,1,2.9262142,34,3.9512e-07,51108.949,1,29,15,4680,15,6,34,146.90053236200617
2,5028.3647025,1,15.709193,35,3.048602e-05,38249.836,1,26,15,285480,15,5,35,145.8279674570614
2,5030.835597810001,1,14.953805,36,6.015884000000001e-06,38621.955,0,20,13,145080,14,5,36,147.0447342588697
3,5625.5031895,1,4.484948,37,2.858275200000033e-05,47547.22,1,26,14,238680,12,3,37,148.70254555768275
3,5625.5031895,1,3.9067938,38,4.948201999999999e-05,50071.805,0,20,15,332280,15,6,38,149.6682843277191
