addressmapping,energy,episode_length,episode_return,episodes,err_rate,latency,pagepolicy,ras,rcd,refi,rp,rrd,steps,steps_per_second
0,23.534900559999997,1,3.2371352,1,8.856519999999999e-07,189.986,1,25,14,4680,14,5,1,11.065772463683997
3,20.02627069,1,11.737116,2,6.6193352e-05,153.693,1,29,14,379080,16,5,2,120.7271889931495
2,19.620323879999997,1,15.491779,3,3.0394199999999998e-05,147.806,0,27,16,285480,14,6,3,0.6046836374289054
2,19.620323879999997,1,15.491779,4,3.0394199999999998e-05,147.806,0,27,16,285480,14,6,4,126.05728368346708
2,19.620323879999997,1,15.491779,5,3.0394199999999998e-05,147.806,0,27,16,285480,14,6,5,135.30885863604104
2,19.620323879999997,1,15.491779,6,3.0394199999999998e-05,147.806,0,27,16,285480,14,6,6,135.61510605276771
2,19.620323879999997,1,15.491779,7,3.0394199999999998e-05,147.806,0,27,16,285480,14,6,7,137.68067226890756
2,19.620323879999997,1,15.520087,8,3.0394551999999997e-05,147.752,0,27,14,285480,14,6,8,137.7575458994318
2,19.620323879999997,1,15.491779,9,3.0394199999999998e-05,147.806,0,27,16,285480,14,6,9,137.95691214682762
2,19.620323879999997,1,15.491779,10,3.0394199999999998e-05,147.806,0,27,16,285480,14,6,10,81.53145167560842
2,19.620323879999997,1,15.491779,11,3.0394199999999998e-05,147.806,0,27,16,285480,14,6,11,0.14497728318091255
1,19.620773120000003,1,16.353983,12,8.204338400000036e-05,146.242,1,34,12,379080,16,5,12,122.84161199625117
1,19.620773120000003,1,16.353983,13,8.204338400000036e-05,146.242,1,34,12,379080,16,5,13,145.04128916245938
1,19.620773120000003,1,16.353983,14,8.204338400000036e-05,146.242,1,34,12,379080,16,5,14,142.7945392026691
1,19.620773120000003,1,16.353983,15,8.204338400000036e-05,146.242,1,34,12,379080,16,5,15,146.5822324736143
0,21.90357775,1,5.120514,16,8.204338400000036e-05,175.327,1,34,12,379080,16,5,16,1.3008013894057808
1,19.620773120000003,1,16.463772,17,8.207858400000036e-05,146.055,1,34,12,379080,14,5,17,1.4876282915469183
1,19.620773120000003,1,16.353983,18,8.204338400000036e-05,146.242,1,34,12,379080,16,5,18,110.5801212760348
1,19.620773120000003,1,16.353983,19,8.204338400000036e-05,146.242,1,34,12,379080,16,5,19,141.92001082763755
1,19.620773120000003,1,16.353983,20,8.204338400000036e-05,146.242,1,34,12,379080,16,5,20,89.54725762719102
1,19.620773120000003,1,16.353983,21,8.204338400000036e-05,146.242,1,34,12,379080,16,5,21,1.6079155541328753
1,19.620773120000003,1,16.353983,22,8.204338400000036e-05,146.242,1,34,12,379080,16,5,22,57.752099798970065
1,19.620773120000003,1,16.353983,23,8.204338400000036e-05,146.242,1,34,12,379080,16,5,23,143.248087431694
1,19.620773120000003,1,16.353983,24,8.204338400000036e-05,146.242,1,34,12,379080,16,5,24,142.8967020986645
1,19.620773120000003,1,16.353983,25,8.204338400000036e-05,146.242,1,34,12,379080,16,5,25,145.1215832814338
1,19.620773120000003,1,16.353983,26,8.204338400000036e-05,146.242,1,34,12,379080,16,5,26,145.42347964773595
1,19.620773120000003,1,16.353983,27,8.204338400000036e-05,146.242,1,34,12,379080,16,5,27,143.99560560285636
1,19.620773120000003,1,16.353983,28,8.204338400000036e-05,146.242,1,34,12,379080,16,5,28,146.81825819098293
1,19.620773120000003,1,16.353983,29,8.204338400000036e-05,146.242,1,34,12,379080,16,5,29,146.936556314591
1,19.620773120000003,1,16.272741,30,6.604308400000001e-05,146.382,1,34,13,379080,16,5,30,79.14826486517087
1,19.620773120000003,1,16.353983,31,8.204338400000036e-05,146.242,1,34,12,379080,16,5,31,1.6321970137707127
1,19.620773120000003,1,16.353983,32,8.204338400000036e-05,146.242,1,34,12,379080,16,5,32,137.82997601130427
1,19.620773120000003,1,16.353983,33,8.204338400000036e-05,146.242,1,34,12,379080,16,5,33,144.99616275452
1,19.620773120000003,1,16.353983,34,8.204338400000036e-05,146.242,1,34,12,379080,16,5,34,148.29770533536046
1,19.620773120000003,1,16.353983,35,8.204338400000036e-05,146.242,1,34,12,379080,16,5,35,146.653986013986
1,19.620773120000003,1,16.353983,36,8.204338400000036e-05,146.242,1,34,12,379080,16,5,36,146.80798039901995
1,19.620773120000003,1,16.353983,37,8.204338400000036e-05,146.242,1,34,12,379080,16,5,37,146.9777481865648
1,19.620773120000003,1,16.353983,38,8.204338400000036e-05,146.242,1,34,12,379080,16,5,38,147.37022592319315
1,19.620773120000003,1,16.353983,39,8.204338400000036e-05,146.242,1,34,12,379080,16,5,39,148.27673489588858
1,19.620773120000003,1,16.353983,40,8.204338400000036e-05,146.242,1,34,12,379080,16,5,40,73.15816646898764
1,19.620773120000003,1,16.353983,41,8.204338400000036e-05,146.242,1,34,12,379080,16,5,41,1.6329328642268406
1,19.620773120000003,1,16.353983,42,8.204338400000036e-05,146.242,1,34,12,379080,16,5,42,72.12904557179708
1,19.620773120000003,1,16.353983,43,8.204338400000036e-05,146.242,1,34,12,379080,16,5,43,146.52078530007685
1,19.620773120000003,1,16.353983,44,8.204338400000036e-05,146.242,1,34,12,379080,16,5,44,147.375404075896
1,19.620773120000003,1,16.353983,45,8.204338400000036e-05,146.242,1,34,12,379080,16,5,45,146.55662322233482
1,19.620773120000003,1,16.353983,46,8.204338400000036e-05,146.242,1,34,12,379080,16,5,46,146.910823117338
1,19.620773120000003,1,16.353983,47,8.204338400000036e-05,146.242,1,34,12,379080,16,5,47,146.3776087108257
1,19.620773120000003,1,16.353983,48,8.204338400000036e-05,146.242,1,34,12,379080,16,5,48,149.33257378858548
1,19.620773120000003,1,16.353983,49,8.204338400000036e-05,146.242,1,34,12,379080,16,5,49,148.33966401414676
1,19.620773120000003,1,16.353983,50,8.204338400000036e-05,146.242,1,34,12,379080,16,5,50,85.09269440668682
1,19.620773120000003,1,16.353983,51,8.204338400000036e-05,146.242,1,34,12,379080,16,5,51,1.6228466629393683
1,19.620773120000003,1,16.353983,52,8.204338400000036e-05,146.242,1,34,12,379080,16,5,52,135.47055973644262
1,19.620773120000003,1,16.353983,53,8.204338400000036e-05,146.242,1,34,12,379080,16,5,53,147.56725187348275
1,19.620773120000003,1,16.353983,54,8.204338400000036e-05,146.242,1,34,12,379080,16,5,54,148.64457596484388
1,19.620773120000003,1,16.353983,55,8.204338400000036e-05,146.242,1,34,12,379080,16,5,55,147.33398904032597
1,19.620773120000003,1,16.353983,56,8.204338400000036e-05,146.242,1,34,12,379080,16,5,56,148.8714417548094
1,19.620773120000003,1,16.353983,57,8.204338400000036e-05,146.242,1,34,12,379080,16,5,57,149.93043789097408
1,19.620773120000003,1,16.353983,58,8.204338400000036e-05,146.242,1,34,12,379080,16,5,58,149.3804402022936
1,19.620773120000003,1,16.353983,59,8.204338400000036e-05,146.242,1,34,12,379080,16,5,59,150.06454382826476
1,19.620773120000003,1,16.353983,60,8.204338400000036e-05,146.242,1,34,12,379080,16,5,60,80.20315129264189
