addressmapping,energy,episode_length,episode_return,episodes,err_rate,latency,pagepolicy,ras,rcd,refi,rp,rrd,steps,steps_per_second
0,41.88365525,1,2.429237,1,3.1681552e-05,366.342,1,19,14,285480,14,4,1,10.723362913761674
0,41.866191,1,2.3555133,2,4.400019999999999e-06,371.594,1,38,15,145080,16,3,2,0.7393916273933733
0,41.88365525,1,2.3320894,3,3.0193e-05,373.063,1,29,16,285480,16,4,3,0.3308114926025532
3,36.061736,1,8.916448,4,8.4519552e-05,278.847,1,26,14,425880,14,3,4,104.77116378987336
1,36.837637439999995,1,7.9799547,5,1.0245200000000001e-07,280.657,1,37,14,4680,15,5,5,126.58992545196632
3,36.061736,1,8.947222,6,7.986019999999999e-06,278.593,1,26,15,191880,15,4,6,133.81094273408837
3,36.106777,1,8.762871,7,2.0192e-06,279.748,1,26,16,98280,14,5,7,137.09115868605983
2,34.43765925,1,14.413572,8,2.185552e-06,261.377,1,25,14,98280,14,4,8,132.59267220940157
3,36.061736,1,8.5339365,9,4.813522e-05,282.157,1,33,15,332280,14,6,9,139.75423164067706
2,34.39323425,1,15.085235,10,4.655338400000036e-05,259.214,1,26,12,285480,13,3,10,68.08935064935065
3,36.061736,1,8.503847,11,4.7902352e-05,282.43,0,37,14,332280,15,5,11,0.07845352927661718
2,34.39323425,1,16.015175,12,3.0394199999999998e-05,256.066,0,27,16,285480,14,6,12,123.70023888872504
3,36.061736,1,8.850411,13,4.8100683999999995e-05,279.398,1,31,13,332280,16,5,13,143.40481400437636
3,36.064981,1,7.9794807,14,4.400684e-06,287.487,1,37,13,145080,16,5,14,147.16339777551664
3,36.064981,1,9.124227,15,2.066938400000036e-05,277.138,1,31,12,145080,13,6,15,147.30811646120887
0,41.88365525,1,2.401301,16,4.951522e-05,368.219,0,20,15,332280,14,3,16,149.7430917529454
3,36.061736,1,8.425716,17,1.19352e-05,283.148,0,37,16,238680,14,5,17,150.92853544440447
2,34.39323425,1,14.918749,18,1.193522e-05,259.819,1,37,15,238680,14,6,18,150.9937360501116
1,34.41944088,1,14.523655,19,2.65e-06,261.097,1,22,16,98280,15,5,19,148.78166790819765
0,41.88365525,1,2.4018307,20,4.8044752e-05,368.183,0,34,14,332280,15,3,20,75.32602995582056
3,36.061736,1,8.507363,21,4.8519552000000004e-05,282.398,0,26,14,332280,14,5,21,26.45047044875514
0,41.88365525,1,2.4308038,22,6.6228552e-05,366.238,0,29,14,379080,14,5,22,68.22336082239464
4,43.61430956,1,1.8953946,23,4.8135552e-05,389.576,0,32,14,332280,14,5,23,146.2194178141886
3,36.061736,1,8.6531515,24,2.418618400000036e-05,281.094,1,25,12,191880,14,6,24,149.81262278101224
4,43.60048638,1,1.870421,25,2.0524e-06,392.201,1,26,16,98280,13,5,25,159.38227694178445
3,36.106777,1,7.8910813,26,1.46842e-06,288.006,1,37,15,98280,13,5,26,149.9518787315434
2,34.37714775,1,14.748901,27,5.218399999999999e-06,260.58,1,25,16,145080,13,5,27,150.02160383432292
4,43.61430956,1,1.8771293,28,1.2984352e-05,391.372,1,23,14,238680,15,3,28,144.73598122778563
3,36.064981,1,8.79281,29,5.152352e-06,279.857,1,25,14,145080,15,6,29,149.03542621611058
2,34.39323425,1,15.955497,30,9.181884e-06,256.257,0,19,13,191880,14,6,30,89.30321289415973
3,38.68732694,1,5.1262274,31,2.4452000000000013e-07,303.302,1,34,15,4680,15,5,31,25.990556333577068
3,36.061736,1,8.858389,32,3.03112e-05,279.331,1,28,16,285480,14,5,32,134.57947763588527
2,34.39323425,1,14.823297,33,3.031122e-05,260.172,1,28,15,285480,14,5,33,149.70033549860804
3,38.68732694,1,5.1304026,34,8.521199999999999e-07,303.222,1,25,15,4680,15,6,34,149.6148961974745
2,34.37714775,1,14.951464,35,4.98602e-06,259.827,1,26,15,145080,15,5,35,149.68965024982157
2,34.37714775,1,15.996252,36,6.015884000000001e-06,256.246,0,20,13,145080,14,5,36,150.4521127771002
3,36.061736,1,8.903788,37,2.858275200000033e-05,278.952,1,26,14,238680,12,3,37,151.62692502349793
3,36.061736,1,8.476588,38,4.948201999999999e-05,282.679,0,20,15,332280,15,5,38,149.84473580793826
3,36.061736,1,8.761498,39,4.7902352e-05,280.153,1,37,14,332280,15,6,39,152.0942814664394
2,36.85593719,1,8.294678,40,3.6852e-07,277.644,0,32,15,4680,13,6,40,75.84362229214133
2,34.39323425,1,14.858847,41,2.993522e-05,260.04,1,37,15,285480,14,5,41,26.898634002436992
3,36.106777,1,8.416194,42,1.8912420000000332e-05,282.827,0,21,15,98280,12,5,42,140.18395721925134
3,36.061736,1,8.88133,43,2.793618400000036e-05,279.139,1,37,12,238680,14,5,43,146.07174200738316
0,44.987087939999995,1,1.6925715,44,1.1847839999999998e-06,395.468,0,23,13,4680,15,4,44,148.78694572543455
2,34.39323425,1,14.943556,45,6.611115200000001e-05,259.728,1,34,14,379080,13,3,45,149.4070459160047
3,36.061736,1,8.54734,46,2.993522e-05,282.036,1,38,15,285480,14,5,46,151.26601269474898
2,34.43765925,1,15.718397,47,1.6019999999999997e-06,256.697,0,32,16,98280,15,6,47,151.5009571970381
2,34.39323425,1,14.827059,48,8.46852e-05,260.158,1,25,16,425880,14,6,48,150.84168884413435
3,36.061736,1,8.511103,49,3.1017551999999995e-05,282.364,0,23,14,285480,14,5,49,151.36427282569468
4,43.53677625,1,1.8431647,50,4.61002e-06,395.724,1,30,15,145080,16,5,50,87.20148028025531
