,cactusADM,copy,ferret,fotonik3d,freqmine,GemsFDTD,hmmer,lbm,namd,parest,sphinx3,swaptions,triad,xz,zeusmp
pagepolicy,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1
addresmapping,2,1,2,1,2,1,2,2,1,1,1,1,1,1,1
rcd,13,12,15,12,14,12,13,13,12,13,12,12,12,12,12
rp,14,15,12,13,12,15,13,14,13,16,13,15,15,15,15
ras,32,38,37,32,20,38,29,39,32,36,32,38,38,38,38
rrdl,4,6,4,5,4,6,5,4,5,6,5,6,6,6,6
refi,425880,332280,332280,332280,332280,332280,379080,98280,332280,285480,332280,332280,332280,332280,332280
Energy,4161.8896,742.93097,19.620323,10863.984,34.393234,11184.095,2452.2092,15228.267,3085.4902,7049.2393,4148.1807,0.92196655,1029.878,5036.393,16567.8789
Latency,39434.773,4184.606,143.58501,80783.82,256.00299,71854.438,26665.514,76204.727,33926.605,52770.406,40566.469,6.46,5331.828,35356.27,103444.586
EDP,164123171.62706083,3108873.39464782,2817.18427415823,877634127.9388801,8804.77073976966,803626860.7636099,65389418.75352879,1160465929.418109,104680207.24677102,371991219.8521558,168277043.7729483,5.955903913,5491132.356984,178068070.73411,1713857373.7086353
